year;city;country;avg_temp;moving_avg
1843;Riyadh;Saudi Arabia;24.74;
1844;Riyadh;Saudi Arabia;15.45;
1845;Riyadh;Saudi Arabia;20.82;
1846;Riyadh;Saudi Arabia;;
1847;Riyadh;Saudi Arabia;;
1848;Riyadh;Saudi Arabia;24.56;
1849;Riyadh;Saudi Arabia;24.8;22.074
1850;Riyadh;Saudi Arabia;24.34;21.994
1851;Riyadh;Saudi Arabia;25.03;23.91
1852;Riyadh;Saudi Arabia;24.85;24.716
1853;Riyadh;Saudi Arabia;24.93;24.75166667
1854;Riyadh;Saudi Arabia;24.72;24.74714286
1855;Riyadh;Saudi Arabia;24.92;24.79857143
1856;Riyadh;Saudi Arabia;24.57;24.76571429
1857;Riyadh;Saudi Arabia;24.26;24.75428571
1858;Riyadh;Saudi Arabia;25.01;24.75142857
1859;Riyadh;Saudi Arabia;24.95;24.76571429
1860;Riyadh;Saudi Arabia;24.94;24.76714286
1861;Riyadh;Saudi Arabia;24.13;24.68285714
1862;Riyadh;Saudi Arabia;23.77;24.51857143
1863;Riyadh;Saudi Arabia;24.28;24.47714286
1864;Riyadh;Saudi Arabia;25.03;24.58714286
1865;Riyadh;Saudi Arabia;25.23;24.61857143
1866;Riyadh;Saudi Arabia;24.92;24.61428571
1867;Riyadh;Saudi Arabia;25.22;24.65428571
1868;Riyadh;Saudi Arabia;25;24.77857143
1869;Riyadh;Saudi Arabia;25.3;24.99714286
1870;Riyadh;Saudi Arabia;25.02;25.10285714
1871;Riyadh;Saudi Arabia;24.73;25.06
1872;Riyadh;Saudi Arabia;24.87;25.00857143
1873;Riyadh;Saudi Arabia;25.24;25.05428571
1874;Riyadh;Saudi Arabia;24.98;25.02
1875;Riyadh;Saudi Arabia;24.43;24.93857143
1876;Riyadh;Saudi Arabia;24.89;24.88
1877;Riyadh;Saudi Arabia;25.47;24.94428571
1878;Riyadh;Saudi Arabia;25.51;25.05571429
1879;Riyadh;Saudi Arabia;25.24;25.10857143
1880;Riyadh;Saudi Arabia;24.8;25.04571429
1881;Riyadh;Saudi Arabia;25.63;25.13857143
1882;Riyadh;Saudi Arabia;24.66;25.17142857
1883;Riyadh;Saudi Arabia;25.19;25.21428571
1884;Riyadh;Saudi Arabia;24.8;25.11857143
1885;Riyadh;Saudi Arabia;24.98;25.04285714
1886;Riyadh;Saudi Arabia;24.98;25.00571429
1887;Riyadh;Saudi Arabia;24.81;25.00714286
1888;Riyadh;Saudi Arabia;25.13;24.93571429
1889;Riyadh;Saudi Arabia;25.52;25.05857143
1890;Riyadh;Saudi Arabia;25.07;25.04142857
1891;Riyadh;Saudi Arabia;25.39;25.12571429
1892;Riyadh;Saudi Arabia;25.22;25.16
1893;Riyadh;Saudi Arabia;25.19;25.19
1894;Riyadh;Saudi Arabia;24.66;25.16857143
1895;Riyadh;Saudi Arabia;24.69;25.10571429
1896;Riyadh;Saudi Arabia;24.88;25.01428571
1897;Riyadh;Saudi Arabia;24.86;24.98428571
1898;Riyadh;Saudi Arabia;24.88;24.91142857
1899;Riyadh;Saudi Arabia;25.12;24.89714286
1900;Riyadh;Saudi Arabia;25.29;24.91142857
1901;Riyadh;Saudi Arabia;25.55;25.03857143
1902;Riyadh;Saudi Arabia;25.25;25.11857143
1903;Riyadh;Saudi Arabia;24.64;25.08428571
1904;Riyadh;Saudi Arabia;25.07;25.11428571
1905;Riyadh;Saudi Arabia;24.87;25.11285714
1906;Riyadh;Saudi Arabia;24.85;25.07428571
1907;Riyadh;Saudi Arabia;24.44;24.95285714
1908;Riyadh;Saudi Arabia;24.95;24.86714286
1909;Riyadh;Saudi Arabia;25.57;24.91285714
1910;Riyadh;Saudi Arabia;24.75;24.92857143
1911;Riyadh;Saudi Arabia;24.24;24.81
1912;Riyadh;Saudi Arabia;24.96;24.82285714
1913;Riyadh;Saudi Arabia;24.63;24.79142857
1914;Riyadh;Saudi Arabia;24.94;24.86285714
1915;Riyadh;Saudi Arabia;25.38;24.92428571
1916;Riyadh;Saudi Arabia;24.85;24.82142857
1917;Riyadh;Saudi Arabia;25.03;24.86142857
1918;Riyadh;Saudi Arabia;24.66;24.92142857
1919;Riyadh;Saudi Arabia;25.39;24.98285714
1920;Riyadh;Saudi Arabia;24.94;25.02714286
1921;Riyadh;Saudi Arabia;24.84;25.01285714
1922;Riyadh;Saudi Arabia;25.35;25.00857143
1923;Riyadh;Saudi Arabia;25.1;25.04428571
1924;Riyadh;Saudi Arabia;25.69;25.13857143
1925;Riyadh;Saudi Arabia;25;25.18714286
1926;Riyadh;Saudi Arabia;25.19;25.15857143
1927;Riyadh;Saudi Arabia;25.29;25.20857143
1928;Riyadh;Saudi Arabia;25.39;25.28714286
1929;Riyadh;Saudi Arabia;25.36;25.28857143
1930;Riyadh;Saudi Arabia;25.39;25.33
1931;Riyadh;Saudi Arabia;25.38;25.28571429
1932;Riyadh;Saudi Arabia;24.96;25.28
1933;Riyadh;Saudi Arabia;24.67;25.20571429
1934;Riyadh;Saudi Arabia;24.97;25.16
1935;Riyadh;Saudi Arabia;25.61;25.19142857
1936;Riyadh;Saudi Arabia;25.15;25.16142857
1937;Riyadh;Saudi Arabia;25.08;25.11714286
1938;Riyadh;Saudi Arabia;25.11;25.07857143
1939;Riyadh;Saudi Arabia;25.16;25.10714286
1940;Riyadh;Saudi Arabia;25.51;25.22714286
1941;Riyadh;Saudi Arabia;25.37;25.28428571
1942;Riyadh;Saudi Arabia;25.49;25.26714286
1943;Riyadh;Saudi Arabia;24.96;25.24
1944;Riyadh;Saudi Arabia;25.6;25.31428571
1945;Riyadh;Saudi Arabia;25.3;25.34142857
1946;Riyadh;Saudi Arabia;25.49;25.38857143
1947;Riyadh;Saudi Arabia;26;25.45857143
1948;Riyadh;Saudi Arabia;24.85;25.38428571
1949;Riyadh;Saudi Arabia;24.82;25.28857143
1950;Riyadh;Saudi Arabia;24.98;25.29142857
1951;Riyadh;Saudi Arabia;26.1;25.36285714
1952;Riyadh;Saudi Arabia;25.72;25.42285714
1953;Riyadh;Saudi Arabia;25.51;25.42571429
1954;Riyadh;Saudi Arabia;25.8;25.39714286
1955;Riyadh;Saudi Arabia;25.33;25.46571429
1956;Riyadh;Saudi Arabia;25.02;25.49428571
1957;Riyadh;Saudi Arabia;24.69;25.45285714
1958;Riyadh;Saudi Arabia;25.64;25.38714286
1959;Riyadh;Saudi Arabia;24.14;25.16142857
1960;Riyadh;Saudi Arabia;25.67;25.18428571
1961;Riyadh;Saudi Arabia;25.12;25.08714286
1962;Riyadh;Saudi Arabia;26.1;25.19714286
1963;Riyadh;Saudi Arabia;25.54;25.27142857
1964;Riyadh;Saudi Arabia;25.14;25.33571429
1965;Riyadh;Saudi Arabia;25.59;25.32857143
1966;Riyadh;Saudi Arabia;26.16;25.61714286
1967;Riyadh;Saudi Arabia;24.87;25.50285714
1968;Riyadh;Saudi Arabia;25.21;25.51571429
1969;Riyadh;Saudi Arabia;26.05;25.50857143
1970;Riyadh;Saudi Arabia;25.84;25.55142857
1971;Riyadh;Saudi Arabia;24.93;25.52142857
1972;Riyadh;Saudi Arabia;24.74;25.4
1973;Riyadh;Saudi Arabia;25.6;25.32
1974;Riyadh;Saudi Arabia;25.4;25.39571429
1975;Riyadh;Saudi Arabia;25.04;25.37142857
1976;Riyadh;Saudi Arabia;24.97;25.21714286
1977;Riyadh;Saudi Arabia;25.99;25.23857143
1978;Riyadh;Saudi Arabia;25.95;25.38428571
1979;Riyadh;Saudi Arabia;26.2;25.59285714
1980;Riyadh;Saudi Arabia;25.83;25.62571429
1981;Riyadh;Saudi Arabia;25.95;25.70428571
1982;Riyadh;Saudi Arabia;24.62;25.64428571
1983;Riyadh;Saudi Arabia;24.85;25.62714286
1984;Riyadh;Saudi Arabia;25.05;25.49285714
1985;Riyadh;Saudi Arabia;25.3;25.4
1986;Riyadh;Saudi Arabia;25.36;25.28
1987;Riyadh;Saudi Arabia;26.37;25.35714286
1988;Riyadh;Saudi Arabia;25.99;25.36285714
1989;Riyadh;Saudi Arabia;25.05;25.42428571
1990;Riyadh;Saudi Arabia;25.7;25.54571429
1991;Riyadh;Saudi Arabia;25.43;25.6
1992;Riyadh;Saudi Arabia;24.37;25.46714286
1993;Riyadh;Saudi Arabia;25.42;25.47571429
1994;Riyadh;Saudi Arabia;26.08;25.43428571
1995;Riyadh;Saudi Arabia;25.64;25.38428571
1996;Riyadh;Saudi Arabia;26.28;25.56
1997;Riyadh;Saudi Arabia;25.49;25.53
1998;Riyadh;Saudi Arabia;26.73;25.71571429
1999;Riyadh;Saudi Arabia;26.92;26.08
2000;Riyadh;Saudi Arabia;26.55;26.24142857
2001;Riyadh;Saudi Arabia;26.67;26.32571429
2002;Riyadh;Saudi Arabia;26.44;26.44
2003;Riyadh;Saudi Arabia;26.62;26.48857143
2004;Riyadh;Saudi Arabia;26.2;26.59
2005;Riyadh;Saudi Arabia;26.27;26.52428571
2006;Riyadh;Saudi Arabia;26.24;26.42714286
2007;Riyadh;Saudi Arabia;26.49;26.41857143
2008;Riyadh;Saudi Arabia;26.21;26.35285714
2009;Riyadh;Saudi Arabia;26.71;26.39142857
2010;Riyadh;Saudi Arabia;27.37;26.49857143
2011;Riyadh;Saudi Arabia;26.4;26.52714286
2012;Riyadh;Saudi Arabia;26.83;26.60714286
2013;Riyadh;Saudi Arabia;27.78;26.82714286
